P,1571356800,15.0,0.05,0.35,1.29297228515625
P,1571356800,17.5,0.0,0.9,1.2148476757812499
P,1571356800,20.0,0.05,0.2,0.6093789062500001
P,1571356800,22.5,0.0,0.8,0.5361374511718751
P,1571356800,25.0,0.5,0.65,0.30274134765625
C,1571356800,20.0,5.8,6.7,1.1337933935546878
C,1571356800,22.5,2.45,5.2,0.8007832421875
C,1571356800,25.0,0.55,2.25,0.752932158203125
P,1579219200,20.0,0.2,0.9,0.5502974658203126
P,1579219200,22.5,0.05,1.7,0.5400436621093752
P,1579219200,25.0,1.35,1.5,0.29492892578124996
C,1579219200,20.0,5.3,5.8,0.4106504248046875
C,1579219200,22.5,3.5,3.8,0.37793590820312495
C,1579219200,25.0,2.4,2.7,0.43945873046875
C,1579219200,30.0,0.35,0.5,0.3232489550781249
P,1587081600,25.0,0.8,3.2,0.44751529052734373
C,1587081600,25.0,2.75,2.9,0.3569400244140625
