P,1573776000,20.0,0.6,1.0,0.331061376953125
P,1573776000,22.5,2.4,2.9,1.0000000000000003e-05
C,1573776000,20.0,0.55,0.85,0.49609878906250005
P,1576800000,12.5,0.0,0.75,0.9335944140625
P,1576800000,15.0,0.15,0.2,0.500005
P,1576800000,17.5,1.2,1.8,0.7763694238281251
P,1576800000,20.0,1.15,1.65,0.42383388671875
P,1576800000,25.0,3.4,5.6,0.39258419921875
C,1576800000,15.0,5.4,7.5,1.3476595117187498
C,1576800000,17.5,3.5,5.7,1.1567424975585938
C,1576800000,20.0,1.95,3.9,0.97460962890625
C,1576800000,22.5,0.4,1.15,0.551762294921875
P,1579219200,15.0,0.05,0.8,0.5507857421875001
C,1579219200,20.0,0.0,1.6,0.4687553125
P,1587081600,15.0,0.5,0.75,0.48779809082031256
